Track name, Artist name, Album, Playlist name, Type, ISRC
Mister Sandman,Chet Atkins,The Essential Chet Atkins,Something,Playlist track,USTN10600175
Attack Of The Dungeon Witch,He Is Legend,Suck Out The Poison,Something,Playlist track,USEK71010809
A Faint Illusion,Tides Of Man,Dreamhouse,Something,Playlist track,QM24S1834206
All Like Whatever,Watsky,All Like Whatever,Something,Playlist track,USHR21880003
It Don't Exist,Bayside,It Don't Exist,Something,Playlist track,US3X50511205
Mouths Like Sidewinder Misssles,The Fall of Troy,Doppelganger,Something,Playlist track,USEK71010807
Chemical Fires,Tides Of Man,Dreamhouse,Something,Playlist track,USCA20601168
Collapse,Saosin,Saosin,Something,Playlist track,USAR50010125
Brackish,Kittie,Spit,Something,Playlist track,US68L0500001
Shut Me Up,Mindless Self Indulgence,You'll Rebel To Anything (Expanded and Remastered),Something,Playlist track,US68L0500002
1989,Mindless Self Indulgence,You'll Rebel To Anything (Expanded and Remastered),Something,Playlist track,USHR21810102
Sing To Me,With Confidence,Love and Loathing,Something,Playlist track,USUYG1106799
Pink Lemonade,Watsky,x Infinity,Something,Playlist track,USUYG1106800
Don't Be Nice,Watsky,x Infinity,Something,Playlist track,USEP40818109
10 Miles Wide,Escape the Fate,This War Is Ours (Deluxe Edition),Something,Playlist track,USEP41310004
Fashionably Late,Falling In Reverse,Fashionably Late (Deluxe Edition),Something,Playlist track,USHR21880011
Devotion and Desire,Bayside,Acoustic Volume 2,Something,Playlist track,USP6L1800289
Disease,Beartooth,Disease,Something,Playlist track,QM4TW1898425
New Light,John Mayer,New Light,Something,Playlist track,SEYOK1771397
Romeo & Juliet,Hobo Johnson,The Rise of Hobo Johnson,Something,Playlist track,USDY41805670
Peach Scone,Hobo Johnson,Peach Scone,Something,Playlist track,USMC19989459
Date Rape,Sublime,Sublime Greatest Hits,Something,Playlist track,US3X50510305
In Fear and Faith,Circa Survive,Juturna,Something,Playlist track,USHR21880004
Duality,Bayside,Acoustic Volume 2,Something,Playlist track,USVIC0845503
Duality,Bayside,The Walking Wounded (Gold Edition),Something,Playlist track,USUYG1106801
Yes Britannia,Watsky,x Infinity,Something,Playlist track,USUYG1106804
Brave New World,Watsky,x Infinity,Something,Playlist track,USA6G1454106
Dark Days,PUP,PUP,Something,Playlist track,QM24S1841883
Mean Ass Drunk,Watsky,Mean Ass Drunk,Something,Playlist track,QMRSZ1800511
Evaporate,Dance Gavin Dance,Artificial Selection,Something,Playlist track,USRC10100765
Last Nite,The Strokes,Is This It,Something,Playlist track,USSM10700153
Dashboard,Modest Mouse,We Were Dead Before The Ship Even Sank,Something,Playlist track,USRC11100049
Life Is Simple in the Moonlight,The Strokes,Angles,Something,Playlist track,USRC11300085
"Call It Fate, Call It Karma",The Strokes,Comedown Machine,Something,Playlist track,USRC10301938
Modern Girls & Old Fashion Men,The Strokes,Modern Girls & Old Fashion Men,Something,Playlist track,USSM10315494
Float On,Modest Mouse,Good News For People Who Love Bad News,Something,Playlist track,USSM10315493
The World At Large,Modest Mouse,Good News For People Who Love Bad News,Something,Playlist track,USRC11000232
"I'll Try Anything Once - Live From Electric Lady Studios for WRXP, New York",Julian Casablancas,Live From Electric Lady Studios/WRXP New York,Something,Playlist track,USRC10503559
You Only Live Once,The Strokes,First Impressions Of Earth,Something,Playlist track,USSM10402947
Take Me Out,Franz Ferdinand,Franz Ferdinand,Something,Playlist track,USHR21070002
"For You, And Your Denial",Yellowcard,"When You're Through Thinking, Say Yes",Something,Playlist track,QM24S1845562
No Complaints No Conversation,Watsky,No Complaints No Conversation,Something,Playlist track,USEP40604105
Monsters,Matchbook Romance,Voices,Something,Playlist track,USSM10201529
Send the Pain Below,Chevelle,Wonder What's Next (Expanded Edition),Something,Playlist track,TCACH1523562
Choking on Flowers,Fox Academy,Elsie,Something,Playlist track,QM24S1845565
Whitecaps,Watsky,COMPLAINT,Something,Playlist track,QM24S1845563
Feels Alright,Watsky,COMPLAINT,Something,Playlist track,QZARB1809598
Wii Tennis,420 Unlovable,The 420 Unlovable Family Tape,Something,Playlist track,QM24S1845564
Limo 4 Emos,Watsky,COMPLAINT,Something,Playlist track,USHR21811904
Semi-Charmed Life,Dance Gavin Dance,Semi-Charmed Life,Something,Playlist track,USDW10400797
The First Drop,Rise Against,Siren Song Of The Counter-Culture,Something,Playlist track,USUM71703498
Mourning In Amerika,Rise Against,Wolves,Something,Playlist track,USI2R0750310
Set Sail,Scary Kids Scaring Kids,Scary Kids Scaring Kids,Something,Playlist track,TCACN1653921
The Wondersmith and His Sons,Astronautalis,Pomegranate,Something,Playlist track,USUM71301306
Counting Stars,OneRepublic,Native,Something,Playlist track,USI2R0750303
Holding On,Scary Kids Scaring Kids,Scary Kids Scaring Kids,Something,Playlist track,QMRSZ1600580
Here Comes The Winner,Dance Gavin Dance,Mothership,Something,Playlist track,QMRSZ1800507
Story Of My Bros,Dance Gavin Dance,Artificial Selection,Something,Playlist track,QMRSZ1800509
